doc,splitter,chunk_size,overlap,num_chunks,query,answer,retrieval_latency_s,score
menu,CharacterTextSplitter,500,50,1,What is the main topic of this document?,"The main topic of this document is a food menu, listing various items such as frankies, wraps, savories, subways, brownies, cheesecakes, chocolates, cookies, and tea cakes, along with their prices.",0.044,3
menu,CharacterTextSplitter,500,50,1,What food categories are available?,"The available food categories are:

1. Savouries
2. Subways
3. Brownies
4. Cheesecakes
5. Chocolates
6. Cookies
7. Tea Cakes
8. Salads",0.051,3
menu,CharacterTextSplitter,500,50,1,What are the most expensive items?,"The most expensive items are:

1. Assorted Bonbons (9pcs) - ₹549 (CHOCOLATES)
2. Cheesecakes (various flavors) - ₹500-₹600 (CHEESECAKES)
3. Cookie Cake - ₹650 (TEA CAKES)
4. Banana & Walnut Cake - ₹600 (TEA CAKES)
5. Coffee & Walnut Cake - ₹600 (TEA CAKES)
6. Oats & Date Cake - ₹600 (TEA CAKES)
7. Marble Tea Cake - ₹600 (TEA CAKES)",0.044,2
menu,CharacterTextSplitter,500,50,1,What are the ordering or delivery notes?,"The ordering or delivery notes are:

1. Please place your orders in advance.
2. Cheesecakes available in ½ kg.
3. Tart Cakes and Bombolonis available as per request.
4. Due to hike in chocolate costs, prices may vary.
5. An additional charge applies for the chocolate glaze.
6. Delivery charges are applicable and will be added separately.",0.04,3
menu,CharacterTextSplitter,500,50,1,Which items are seasonal or available on request?,"Based on the context, the following items are seasonal or available on request:

1. Mango (seasonal) - under CHEESECAKES
2. Blueberry (seasonal) - under CHEESECAKES
3. Thai Mango Salad (seasonal) - under Salads
4. Tart Cakes and Bombolonis - available as per request (mentioned in the note)",0.041,3
menu,CharacterTextSplitter,1000,100,1,What is the main topic of this document?,"The main topic of this document is a food menu, listing various items such as frankies, wraps, subways, brownies, cheesecakes, chocolates, cookies, salads, and tea cakes, along with their prices.",0.035,3
menu,CharacterTextSplitter,1000,100,1,What food categories are available?,"The available food categories are:

1. Savouries
2. Subways
3. Brownies
4. Cheesecakes
5. Chocolates
6. Cookies
7. Salads
8. Tea Cakes",0.05,3
menu,CharacterTextSplitter,1000,100,1,What are the most expensive items?,"The most expensive items are:

1. Assorted Bonbons (9pcs) - ₹549 (CHOCOLATES)
2. Cheesecakes (various flavors) - ₹500-₹600 (CHEESECAKES)
3. Cookie Cake - ₹650 (TEA CAKES)
4. Banana & Walnut Cake, Coffee & Walnut Cake, and Oats & Date Cake - ₹600 (TEA CAKES)",0.037,2
menu,CharacterTextSplitter,1000,100,1,What are the ordering or delivery notes?,"The ordering or delivery notes are as follows:

1. Please place your orders in advance.
2. Cheesecakes available in ½ kg.
3. Tart Cakes and Bombolonis available as per request.
4. Due to hike in chocolate costs, prices may vary.
5. An additional charge applies for the chocolate glaze.
6. Delivery charges are applicable and will be added separately.",0.05,3
menu,CharacterTextSplitter,1000,100,1,Which items are seasonal or available on request?,"Based on the context, the following items are seasonal or available on request:

1. Mango (seasonal) - under CHEESECAKES
2. Blueberry (seasonal) - under CHEESECAKES
3. Thai Mango Salad (seasonal) - under Salads
4. Tart Cakes and Bombolonis - available as per request (note 3)",0.044,3
